,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
564,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,11333.0,-122.7736,45.5876
565,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,15962.0,-122.3712,45.5298
566,5km,landslide,downpour,medium,other,0.0,,India,784153.0,77.009,8.4557
567,5km,landslide,downpour,medium,other,3.0,,Vietnam,32992.0,108.8115,15.1257
568,1km,debris_flow,rain,small,above_road,0.0,0.0,United States,3371.0,-117.6767,34.2008
570,10km,landslide,downpour,medium,other,0.0,,India,92113.0,94.1167,25.616
572,5km,mudslide,downpour,medium,other,3.0,,Mexico,228927.0,-99.2398,19.3161
573,25km,landslide,downpour,large,other,0.0,,Fiji,77366.0,178.4779,-17.8893
574,25km,landslide,downpour,medium,other,0.0,,Georgia,0.0,44.8448,41.9757
575,1km,landslide,rain,medium,above_road,0.0,0.0,Nepal,23296.0,83.6182,28.2576
576,5km,landslide,downpour,medium,other,0.0,,India,1495.0,77.9798,31.5639
578,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1045.0,-122.4645,44.1221
579,5km,landslide,downpour,medium,above_road,0.0,0.0,India,2467.0,77.1213,31.0365
580,50km,mudslide,tropical_cyclone,medium,other,0.0,2.0,China,0.0,119.0562,26.314
582,10km,landslide,downpour,large,other,16.0,,Kenya,9152.0,35.5842,1.2495
583,5km,mudslide,downpour,small,other,1.0,,India,17123.0,78.6149,30.819000000000003
585,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4561.0,-123.5561,44.1872
586,1km,landslide,continuous_rain,small,above_road,0.0,0.0,United States,1035.0,-122.3657,47.9918
587,10km,landslide,flooding,medium,other,1.0,,Malaysia,1453975.0,101.699,3.19
588,1km,landslide,downpour,medium,other,3.0,,New Zealand,49168.0,173.9534,-39.1144
591,1km,mudslide,rain,small,other,,,United States,12088.0,-106.8295,40.4613
592,5km,landslide,downpour,medium,other,2.0,,Philippines,3579.0,123.8421,13.1004
593,25km,mudslide,downpour,medium,other,0.0,0.0,Kyrgyzstan,0.0,73.1415,41.7649
594,25km,mudslide,downpour,small,burned_area,0.0,0.0,United States,50073.0,-117.7994,34.2062
595,5km,mudslide,downpour,medium,other,0.0,,United States,20254.0,-122.2619,47.9582
596,5km,landslide,downpour,small,other,0.0,,United States,2237.0,-83.0638,36.9284
597,10km,debris_flow,tropical_cyclone,medium,other,0.0,0.0,Taiwan,7871900.0,121.5399,25.0857
598,5km,mudslide,unknown,small,above_road,0.0,0.0,United States,19038.0,-123.5711,48.1389
599,50km,landslide,unknown,medium,above_road,,,United States,1443.0,-111.633,36.6468
600,25km,landslide,downpour,medium,other,0.0,,Vietnam,146771.0,108.9881,11.989
601,25km,landslide,downpour,medium,other,0.0,,Brunei,3970.0,115.1648,4.5864
602,exact,landslide,rain,small,urban,0.0,0.0,United States,23402.0,-89.5567,40.6545
604,5km,complex,rain,medium,other,,,United States,4154.0,-123.8673,43.6768
606,1km,mudslide,downpour,small,other,0.0,0.0,United States,6903.0,-82.4939,37.4264
607,25km,landslide,downpour,medium,other,0.0,,Ireland,2082.0,-9.87,52.1596
608,5km,landslide,downpour,medium,other,,,Philippines,0.0,120.8299,16.5505
609,5km,landslide,downpour,small,other,,,United States,6903.0,-82.4322,37.4072
610,10km,landslide,downpour,medium,other,0.0,,Nepal,17567.0,83.88,27.59
611,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2255.0,-121.6279,45.5974
612,50km,landslide,downpour,medium,other,0.0,,United States,1151.0,-123.6521,43.6712
613,1km,landslide,downpour,medium,retaining_wall,0.0,,United Kingdom,83652.0,-7.332155031,54.99913875
614,1km,rock_fall,unknown,medium,above_road,0.0,0.0,United States,3600.0,-123.0544,40.7331
615,1km,landslide,downpour,medium,other,0.0,,India,123797.0,88.255,27.0605
616,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,473.0,-120.2668,44.9184
617,5km,mudslide,downpour,medium,other,0.0,,India,92113.0,94.1351,25.4769
619,25km,landslide,downpour,medium,other,2.0,,China,126787.0,102.1778,28.1018
620,10km,landslide,rain,medium,other,0.0,,India,123797.0,88.29184021,26.87324244
621,5km,landslide,downpour,medium,other,0.0,,Indonesia,0.0,115.1374,-8.1913
622,5km,mudslide,rain,small,above_road,0.0,0.0,United States,1637.0,-123.7858,46.6689
623,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1940.0,-116.8344,45.5593
625,5km,landslide,downpour,medium,other,1.0,,India,20553.0,75.7627,33.334
626,25km,landslide,rain,medium,other,,,United States,2450.0,-105.3054,40.6862
627,25km,landslide,rain,medium,other,11.0,,Nepal,84775.0,85.0249,27.4211
629,25km,landslide,downpour,medium,other,0.0,,Philippines,0.0,124.8955,6.1458
630,10km,mudslide,rain,small,other,,,United States,2370.0,-120.0477,48.3455
631,5km,landslide,unknown,small,above_road,0.0,0.0,United States,1073.0,-82.4539,38.3632
633,25km,landslide,downpour,large,other,6.0,,Nepal,0.0,83.8713,28.9743
